iter	Passed	Remaining
0	47	47542
1	49	24524
2	50	16646
3	51	12731
4	51	10330
5	52	8727
6	53	7581
7	54	6728
8	55	6089
9	56	5577
10	57	5159
11	58	4793
12	58	4479
13	59	4211
14	60	3983
15	61	3775
16	62	3603
17	63	3446
18	63	3300
19	64	3169
20	65	3056
21	66	2950
22	67	2860
23	68	2772
24	69	2692
25	69	2614
26	70	2558
27	71	2496
28	73	2460
29	74	2404
30	76	2384
31	77	2353
32	80	2356
33	83	2376
34	85	2368
35	89	2393
36	91	2380
37	93	2376
38	95	2365
39	98	2355
40	99	2337
41	102	2333
42	104	2320
43	106	2314
44	108	2305
45	111	2307
46	112	2282
47	116	2302
48	117	2282
49	120	2295
50	122	2285
51	124	2277
52	126	2263
53	128	2258
54	131	2253
55	133	2243
56	135	2233
57	137	2237
58	140	2233
59	141	2222
60	142	2195
61	145	2206
62	148	2204
63	149	2182
64	150	2161
65	154	2192
66	157	2193
67	157	2165
68	160	2161
69	163	2168
70	164	2146
71	165	2127
72	169	2149
73	170	2128
74	173	2135
75	173	2115
76	177	2127
77	179	2119
78	181	2118
79	182	2101
80	187	2130
81	190	2131
82	192	2124
83	195	2127
84	198	2136
85	201	2137
86	202	2127
87	204	2120
88	207	2125
89	208	2110
90	211	2111
91	213	2109
92	214	2093
93	217	2097
94	218	2082
95	221	2089
96	222	2074
97	223	2060
98	228	2077
99	229	2062
100	232	2072
101	233	2053
102	236	2057
103	237	2042
104	238	2029
105	238	2015
106	243	2036
107	244	2021
108	247	2026
109	248	2013
110	252	2019
111	253	2006
112	256	2010
113	257	1997
114	259	2000
115	260	1987
116	262	1978
117	265	1984
118	266	1969
119	266	1956
120	271	1968
121	273	1965
122	273	1950
123	279	1971
124	283	1984
125	284	1975
126	288	1982
127	289	1975
128	290	1964
129	294	1968
130	296	1965
131	298	1965
132	301	1964
133	303	1961
134	306	1964
135	309	1965
136	311	1965
137	313	1956
138	313	1944
139	314	1932
140	319	1946
141	321	1940
142	325	1947
143	327	1949
144	328	1938
145	330	1932
146	333	1936
147	334	1925
148	335	1915
149	336	1905
150	337	1899
151	339	1894
152	343	1901
