iter	Passed	Remaining
0	48	48255
1	49	24692
2	51	16989
3	52	13134
4	53	10741
5	57	9526
6	58	8293
7	97	12030
8	97	10790
9	99	9818
10	100	9003
11	100	8311
12	101	7719
13	102	7210
14	103	6772
15	103	6385
16	104	6045
17	105	5749
18	107	5575
19	109	5344
20	110	5132
21	111	4937
22	112	4758
23	125	5089
24	126	4920
25	127	4763
26	128	4618
27	143	4979
28	150	5036
29	151	4895
30	152	4761
31	170	5164
32	171	5029
33	172	4898
34	173	4783
35	174	4668
36	175	4558
37	175	4453
38	176	4353
39	177	4258
40	178	4168
41	178	4082
42	179	4000
43	180	3921
44	181	3845
45	181	3773
46	183	3712
47	183	3645
48	184	3582
49	185	3521
50	186	3463
51	186	3406
52	187	3351
53	188	3299
54	189	3262
55	193	3262
56	194	3216
57	196	3191
58	198	3166
59	199	3121
60	199	3076
61	200	3035
62	201	2995
63	202	2956
64	202	2917
65	203	2880
66	204	2851
67	205	2816
68	206	2781
69	206	2747
70	207	2715
71	208	2683
72	208	2651
73	209	2621
74	210	2592
75	210	2563
76	211	2535
77	212	2508
78	212	2481
79	213	2455
80	214	2430
81	214	2404
82	215	2376
83	216	2358
84	217	2336
85	217	2314
86	218	2292
87	219	2271
88	219	2251
89	220	2231
90	221	2211
91	222	2191
92	222	2171
93	223	2151
94	223	2133
95	224	2116
96	225	2098
97	227	2090
98	227	2074
99	228	2058
100	229	2042
101	230	2027
102	231	2011
103	231	1996
104	232	1981
105	233	1966
106	233	1951
107	234	1937
108	235	1923
109	236	1909
110	236	1895
111	237	1882
112	238	1868
113	238	1856
114	239	1843
115	240	1831
116	240	1817
117	241	1805
118	242	1793
119	242	1781
120	243	1769
121	244	1757
122	244	1745
123	245	1735
124	246	1724
125	247	1713
126	247	1701
127	248	1691
128	249	1682
129	249	1671
130	250	1661
131	251	1653
132	252	1643
133	252	1634
134	253	1625
135	254	1615
136	255	1607
137	255	1598
138	256	1589
139	257	1580
140	257	1571
141	258	1561
142	259	1552
143	259	1544
144	260	1538
145	262	1534
146	263	1527
147	264	1520
148	264	1512
149	265	1504
150	266	1497
151	266	1489
152	267	1481
153	268	1474
154	269	1466
155	269	1459
156	270	1452
157	271	1445
158	271	1437
159	272	1430
160	273	1423
161	273	1416
162	274	1409
163	275	1402
164	275	1395
165	276	1389
166	277	1382
167	277	1375
168	278	1371
169	280	1368
170	280	1361
171	281	1355
172	282	1349
173	283	1343
174	283	1337
175	284	1330
176	284	1324
177	285	1320
178	286	1314
179	287	1308
180	287	1302
181	288	1297
182	289	1291
183	290	1286
184	291	1284
185	292	1279
186	293	1274
187	293	1269
188	294	1264
189	296	1263
190	302	1283
191	304	1280
192	305	1275
193	308	1280
194	309	1278
195	314	1288
196	316	1292
197	318	1291
198	319	1286
199	320	1280
200	320	1275
201	321	1270
202	322	1265
203	323	1260
204	324	1256
205	324	1252
206	325	1247
207	326	1242
208	327	1238
209	327	1233
210	328	1228
211	329	1224
212	330	1219
213	330	1215
214	331	1210
215	332	1206
216	333	1201
217	333	1197
218	334	1193
219	335	1189
220	336	1185
221	337	1181
222	337	1177
223	338	1172
224	339	1168
225	340	1165
226	343	1171
227	346	1172
228	347	1169
229	348	1165
230	348	1161
231	349	1157
232	350	1153
233	351	1149
234	352	1146
235	352	1142
236	353	1138
237	354	1135
238	355	1131
239	356	1127
240	357	1125
241	359	1124
242	360	1123
243	361	1120
244	363	1119
245	364	1115
246	365	1112
247	365	1109
248	367	1107
249	368	1104
250	370	1105
251	371	1103
252	372	1100
253	373	1097
254	374	1094
255	375	1090
256	376	1087
257	376	1084
258	377	1080
259	378	1076
260	379	1073
261	380	1071
262	381	1068
263	382	1065
264	383	1062
265	383	1059
266	384	1056
267	385	1053
268	386	1049
269	387	1046
270	387	1043
271	388	1040
272	389	1037
273	390	1034
274	391	1030
275	391	1027
276	392	1024
277	393	1021
278	393	1017
279	394	1014
280	395	1011
281	395	1007
282	396	1004
283	397	1002
284	398	1000
285	399	998
286	400	995
287	401	992
288	403	991
289	404	989
290	404	986
291	405	983
292	406	981
293	407	978
294	408	975
295	409	972
296	409	970
297	410	967
298	411	964
299	412	961
300	413	959
301	413	956
302	414	953
303	415	950
304	415	947
305	416	944
306	417	941
307	417	938
308	418	935
309	419	932
310	419	929
311	420	926
312	420	923
313	421	921
314	422	918
315	423	915
316	423	913
317	424	910
318	425	908
319	426	906
320	427	904
321	428	901
322	428	899
323	429	896
324	430	893
325	430	891
326	431	888
327	432	886
328	433	883
329	433	880
330	434	878
331	435	875
332	435	873
333	436	870
334	437	868
335	438	865
336	438	863
337	439	860
338	440	858
339	441	856
340	441	853
341	442	851
342	443	848
343	443	846
344	444	843
345	445	841
346	445	839
347	446	836
348	447	834
349	447	831
350	448	829
351	449	826
352	450	825
353	451	823
354	451	820
355	452	818
356	452	815
357	453	813
358	454	811
359	455	809
360	456	807
361	457	805
362	458	803
363	461	806
364	463	806
365	464	804
366	465	802
367	466	800
368	469	802
369	469	799
370	470	797
371	471	795
372	472	793
373	472	791
374	473	789
375	474	788
376	475	786
377	476	784
378	477	782
379	478	780
380	478	778
381	479	775
382	480	773
383	481	771
384	481	769
385	482	767
386	483	765
387	483	763
388	484	760
389	485	759
390	486	757
391	486	755
392	487	753
393	488	750
394	489	750
395	490	748
396	491	746
397	491	744
398	492	742
399	493	740
400	494	738
401	494	736
402	495	734
403	496	732
404	498	732
405	499	731
406	501	730
407	504	731
408	505	729
409	505	728
410	514	736
411	518	739
412	519	738
413	520	736
414	521	734
415	526	739
416	528	739
417	533	742
418	541	750
419	541	748
420	542	746
421	543	744
422	544	742
423	545	740
424	546	739
425	547	737
426	548	735
427	549	734
428	550	733
429	551	731
430	552	729
431	553	727
432	554	725
433	556	725
434	557	724
435	559	723
436	559	721
437	560	719
438	561	717
439	562	715
440	563	714
441	564	712
442	565	710
443	566	709
444	566	707
445	567	705
446	568	703
447	569	702
448	570	700
449	571	698
450	572	696
451	573	695
452	574	693
453	574	691
454	575	689
455	576	687
456	577	685
457	578	684
458	579	683
459	580	681
460	581	680
461	584	681
462	586	679
463	588	679
464	589	678
465	590	676
466	590	674
467	592	673
468	593	671
469	594	670
470	595	668
471	595	666
472	596	664
473	597	663
474	598	661
475	599	659
476	600	657
477	600	655
478	601	654
479	602	652
480	603	650
481	604	649
482	604	647
483	605	645
484	606	644
485	607	642
486	608	641
487	609	639
488	610	637
489	611	636
490	612	634
491	613	633
492	614	631
493	615	630
494	616	628
495	617	627
496	617	625
497	618	623
498	619	621
499	620	620
500	621	618
501	622	617
502	622	615
503	623	613
504	624	611
505	624	610
506	625	608
507	626	607
508	627	605
509	628	603
510	629	602
511	630	601
512	631	599
513	633	598
514	634	597
515	635	596
516	636	594
517	638	593
518	638	591
519	639	590
520	640	589
521	641	587
522	642	585
523	642	584
524	643	582
525	644	581
526	645	579
527	646	578
528	647	576
529	648	575
530	649	573
531	650	572
532	651	570
533	652	569
534	652	567
535	653	565
536	654	564
537	655	562
538	656	561
539	656	559
540	657	558
541	658	556
542	660	555
543	662	554
544	662	553
545	663	551
546	664	550
547	665	548
548	666	547
549	666	545
550	667	544
551	668	542
552	669	540
553	669	539
554	670	537
555	671	536
556	672	534
557	672	533
558	673	531
559	674	530
560	675	528
561	676	527
562	677	526
563	678	524
564	679	523
565	680	521
566	680	519
567	682	518
568	683	517
569	684	516
570	684	514
571	685	513
572	686	511
573	687	510
574	688	508
575	689	507
576	689	505
577	699	510
578	714	519
579	715	518
580	716	516
581	717	515
582	718	514
583	720	512
584	721	511
585	722	510
586	723	509
587	724	507
588	726	507
589	728	506
590	730	505
591	732	504
592	736	505
593	736	503
594	738	502
595	740	501
596	742	501
597	745	501
598	747	500
599	748	498
600	749	497
601	750	496
602	751	494
603	753	494
604	754	492
605	755	491
606	759	491
607	761	490
608	775	497
609	777	496
610	778	495
611	779	494
612	780	492
613	781	491
614	782	489
615	783	488
616	784	486
617	785	485
618	786	483
619	787	482
620	788	481
621	788	479
622	790	478
623	791	476
624	791	475
625	792	473
626	793	472
627	795	471
628	797	470
629	798	469
630	806	471
631	808	470
632	809	469
633	810	467
634	811	466
635	811	464
636	812	463
637	813	461
638	814	460
639	815	458
640	815	456
641	816	455
642	817	453
643	818	452
644	819	451
645	820	449
646	822	448
647	823	447
648	823	445
649	824	443
650	825	442
651	826	441
652	827	439
653	827	438
654	828	436
655	829	434
656	830	433
657	830	431
658	831	430
659	832	428
660	833	427
661	833	425
662	834	424
663	835	422
664	835	421
665	837	419
666	837	418
667	838	416
668	844	417
669	845	416
670	845	414
671	846	413
672	847	411
673	849	410
674	850	409
675	851	407
676	853	407
677	854	405
678	861	407
679	864	407
680	867	406
681	873	407
682	874	406
683	876	404
684	880	404
685	882	403
686	883	402
687	884	401
688	890	401
689	891	400
690	892	399
691	893	397
692	894	396
693	895	394
694	896	393
695	897	392
696	899	391
697	901	390
698	903	389
699	905	388
700	908	387
701	909	386
702	911	385
703	912	383
704	915	382
705	918	382
706	919	381
707	920	379
708	921	378
709	922	376
710	923	375
711	924	374
712	925	372
713	935	374
714	937	373
715	938	372
716	939	370
717	940	369
718	940	367
719	941	366
720	943	365
721	944	363
722	945	362
723	945	360
724	947	359
725	948	357
726	949	356
727	950	354
728	950	353
729	953	352
730	954	351
731	955	349
732	965	351
733	966	350
734	968	349
735	969	347
736	970	346
737	973	345
738	975	344
739	978	343
